#L	TOKEN                    CLASSE                   VALOR                    

1	enter                    p_res                                             
1	galaxy                   p_res                                             
2	{                        delimitador              abre_chaves              
3	young                    p_res                                             
3	_a                       id                                                
3	=                        atribuicao                                        
3	1                        num, young               1                        
3	;                        delimitador              fim_de_comando           
4	young                    p_res                                             
4	_b                       id                                                
4	=                        atribuicao                                        
4	0                        num, young               0                        
4	;                        delimitador              fim_de_comando           
6	jedi                     p_res                                             
6	(                        delimitador              abre_par                 
6	_a                       id                                                
6	=                        atribuicao                                        
6	//                       comentario                                        
7	{                        delimitador              abre_chaves              
8	>>                       operador de saida                                 
8	_a                       id                                                
8	red                      op_logico                red                      
8	_b                       id                                                
8	>>                       operador de saida                                 
8	"\n;
	} sith {	
		jedi (_a green _b)
		{
			cpo >> _a green _b >> "string                                            
