#L	TOKEN                    CLASSE                   VALOR                    

1	enter                    enter                                             
1	galaxy                   galaxy                                            
2	{                        abre_chaves                                       
3	young                    young                                             
3	_a                       id                       _a                       
3	=                        atribuicao                                        
3	1                        young                    1                        
3	;                        fim_de_comando                                    
4	young                    young                                             
4	_b                       id                       _b                       
4	=                        atribuicao                                        
4	0                        young                    0                        
4	;                        fim_de_comando                                    
6	jedi                     jedi                                              
6	(                        abre_par                                          
6	_a                       id                       _a                       
6	=                        atribuicao                                        
6	//                       comentario                                        
7	{                        abre_chaves                                       
8	>>                       operador de saida                                 
8	_a                       id                       _a                       
8	red                      op_logico                red                      
8	_b                       id                       _b                       
8	>>                       operador de saida                                 
8	"\n;
	} sith {
		& // esse simbolo vai dar erro	
		jedi (_a green _b)
		{
			cpo >> _a green _b >> "string                                            
