#L	TOKEN                    CLASSE                   VALOR                    

1	enter                    p_res                                             
1	galaxy                   p_res                                             
2	{                        delimitador              abre_chaves              
3	young                    p_res                                             
3	_a                       id                                                
3	=                        atribuicao                                        
3	1                        num, young               1                        
3	;                        delimitador              fim_de_comando           
4	padawan                  p_res                                             
4	_b                       id                                                
4	=                        atribuicao                                        
4	2.5                      num, padawan             2.5                      
4	;                        delimitador              fim_de_comando           
6	cpo                      p_res                                             
6	>>                       operador de saida                                 
6	_a                       id                                                
6	+                        op_arit                  soma                     
6	_b                       id                                                
6	>>                       operador de saida                                 
6	"\n"                     string                                            
6	;                        delimitador              fim_de_comando           
8	anakin                   p_res                                             
8	;                        delimitador              fim_de_comando           
9	}                        delimitador              fecha_chaves             
